id	effectiveTime	active	moduleId	definitionStatusId
73211009	20240101	1	900000000000207008	900000000000074008
44054006	20240101	1	900000000000207008	900000000000074008
195967001	20240101	1	900000000000207008	900000000000074008
49601007	20240101	1	900000000000207008	900000000000074008
38341003	20240101	1	900000000000207008	900000000000074008
84114007	20240101	1	900000000000207008	900000000000074008
13645005	20240101	1	900000000000207008	900000000000074008
59621000	20240101	1	900000000000207008	900000000000074008
267036007	20240101	1	900000000000207008	900000000000074008
22298006	20240101	1	900000000000207008	900000000000074008
386661006	20240101	1	900000000000207008	900000000000074008
36971009	20240101	1	900000000000207008	900000000000074008
368009	20240101	1	900000000000207008	900000000000074008
64572001	20240101	1	900000000000207008	900000000000074008
38822007	20240101	1	900000000000207008	900000000000074008
