id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
1000000011	20240101	1	900000000000207008	44054006	73211009	0	116680003	900000000000011006	900000000000451002
1000000021	20240101	1	900000000000207008	73211009	64572001	0	116680003	900000000000011006	900000000000451002
1000000031	20240101	1	900000000000207008	195967001	64572001	0	116680003	900000000000011006	900000000000451002
1000000041	20240101	1	900000000000207008	38341003	49601007	0	116680003	900000000000011006	900000000000451002
1000000051	20240101	1	900000000000207008	84114007	49601007	0	116680003	900000000000011006	900000000000451002
1000000061	20240101	1	900000000000207008	59621000	38341003	0	116680003	900000000000011006	900000000000451002
1000000071	20240101	1	900000000000207008	22298006	49601007	0	116680003	900000000000011006	900000000000451002
1000000081	20240101	1	900000000000207008	13645005	64572001	0	116680003	900000000000011006	900000000000451002
1000000091	20240101	1	900000000000207008	49601007	64572001	0	116680003	900000000000011006	900000000000451002
1000000101	20240101	1	900000000000207008	36971009	64572001	0	116680003	900000000000011006	900000000000451002
