id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
1234567011	20240101	1	900000000000207008	73211009	en	900000000000013009	Diabetes mellitus	900000000000448009
1234567012	20240101	1	900000000000207008	73211009	en	900000000000003001	Diabetes mellitus (disorder)	900000000000448009
1234567021	20240101	1	900000000000207008	44054006	en	900000000000013009	Type 2 diabetes mellitus	900000000000448009
1234567022	20240101	1	900000000000207008	44054006	en	900000000000003001	Type 2 diabetes mellitus (disorder)	900000000000448009
1234567031	20240101	1	900000000000207008	195967001	en	900000000000013009	Asthma	900000000000448009
1234567032	20240101	1	900000000000207008	195967001	en	900000000000003001	Asthma (disorder)	900000000000448009
1234567041	20240101	1	900000000000207008	49601007	en	900000000000013009	Disorder of cardiovascular system	900000000000448009
1234567051	20240101	1	900000000000207008	38341003	en	900000000000013009	Hypertensive disorder	900000000000448009
1234567052	20240101	1	900000000000207008	38341003	en	900000000000003001	Hypertensive disorder, systemic arterial (disorder)	900000000000448009
1234567061	20240101	1	900000000000207008	84114007	en	900000000000013009	Heart failure	900000000000448009
1234567062	20240101	1	900000000000207008	84114007	en	900000000000003001	Heart failure (disorder)	900000000000448009
1234567071	20240101	1	900000000000207008	13645005	en	900000000000013009	Chronic obstructive lung disease	900000000000448009
1234567072	20240101	1	900000000000207008	13645005	en	900000000000003001	Chronic obstructive pulmonary disease (disorder)	900000000000448009
1234567081	20240101	1	900000000000207008	59621000	en	900000000000013009	Essential hypertension	900000000000448009
1234567091	20240101	1	900000000000207008	267036007	en	900000000000013009	Dyspnea	900000000000448009
1234567092	20240101	1	900000000000207008	267036007	en	900000000000003001	Dyspnea (finding)	900000000000448009
1234567101	20240101	1	900000000000207008	22298006	en	900000000000013009	Myocardial infarction	900000000000448009
1234567102	20240101	1	900000000000207008	22298006	en	900000000000003001	Myocardial infarction (disorder)	900000000000448009
1234567111	20240101	1	900000000000207008	386661006	en	900000000000013009	Fever	900000000000448009
1234567112	20240101	1	900000000000207008	386661006	en	900000000000003001	Fever (finding)	900000000000448009
1234567121	20240101	1	900000000000207008	36971009	en	900000000000013009	Sinusitis	900000000000448009
1234567131	20240101	1	900000000000207008	368009	en	900000000000013009	Heart valve disorder	900000000000448009
1234567141	20240101	1	900000000000207008	64572001	en	900000000000013009	Disease	900000000000448009
1234567151	20240101	1	900000000000207008	38822007	en	900000000000013009	Cough	900000000000448009
